'dao'dan'fa'she 导弹发射
'dao'dan'gong'ji 导弹攻击
'dao'dan'ji'di 导弹基地
'dao'dan'jie'dian 导弹接电
'dao'dan'ting 导弹艇
'dao'dan'xing'neng 导弹性能
'dao'dan'ying 导弹营
'dao'hang 导航
'dao'hang'dian 导航点
'dao'hang'fang'fa 导航方法
'dao'hang'lei'da 导航雷达
'dao'hang'she'bei 导航设备
'dao'hang'sheng'na 导航声纳
'dao'hang'tai 导航台
'dao'huo'suo 导火索
'dao'yan 导演
'dao'yan'ji'hua 导演计划
'dao'jiao 岛礁
'dao'jiao'qu 岛礁区
'dao'yu 岛屿
'dao'yu'jin'gong 岛屿进攻
'dao'yu'yun'shu 岛屿运输
'dao'hui 捣毁
'dao'da'shi'xian 到达时限
'dao'ke'lv 到课率
'dao'ke'shuai 到课率
'dao'lu'bao'zhang 道路保障
'dao'lu'biao'zhi 道路标志
'dao'lu'wang 道路网
'dao'lu'wei'hu 道路维护
'dao'qiao 道桥
'dao'qiao'lian 道桥连
'dao'tou 道头
'de'shou 得手
'deng'chuan 灯船
'deng'guang 灯光
'deng'guang'tong'xin 灯光通信
'deng'guang'xin'hao 灯光信号
'deng'huo'guan'zhi 灯火管制
'deng'huo'wei'zhuang 灯火伪装
'deng'ta 灯塔
'deng'zhuang 灯桩
'deng'lu 登陆
'deng'lu'bian'dui 登陆编队
'deng'lu'bing 登陆兵
'deng'lu'chang 登陆场
'deng'lu'chong'ji 登陆冲击
'deng'lu'di'duan 登陆地段
'deng'lu'di'yu 登陆地域
'deng'lu'dian 登陆点
'deng'lu'dui'xing 登陆队形
'deng'lu'gong'ju 登陆工具
'deng'lu'ji'di 登陆基地
'deng'lu'jian 登陆舰
'deng'lu'jie'duan 登陆阶段
'deng'lu'shi'ji 登陆时机
'deng'lu'shun'xu 登陆顺序
'deng'lu'ting 登陆艇
'deng'lu'tu'ji 登陆突击
'deng'lu'zhan'yi 登陆战役
'deng'lu'zuo'zhan 登陆作战
'deng'gao'ju 等高距
'deng'gao'xian 等高线
'deng'qi'xie'mian 等齐斜面
'deng'shen'ju 等深距
'deng'su'she 等速射
'deng'xiao'ping 邓小平
'di'jie 低界
'di'kong 低空
'di'kong'mang'qu 低空盲区
'di'kong'mu'biao 低空目标
'di'kong'xing'neng 低空性能
'di'shen'dan'dao 低伸弹道
'di'shui'qiao 低水桥
'di'zu 低阻
'di'zu'tan 低阻弹
'di'zu'dan 低阻弹
'di'zu'liu'dan 低阻榴弹
'di'fang 敌方
'di'hou 敌后
'di'hou'zuo'zhan 敌后作战
'di'huo'xia 敌火下
'di'ji 敌机
'di'ji'ju'li 敌机距离
'di'ji'di 敌基地
'di'pi'wo'da 敌疲我打
'di'qian'deng'lu 敌前登陆
'di'qu 敌区
'di'ren 敌人
'di'tui'wo'zhui 敌退我追
'di'wo 敌我
'di'wo'shuang'fang 敌我双方
'di'wo'tai'shi 敌我态势
'di'zhu'wo'rao 敌驻我扰
'di'bu'pen'qi 底部喷气
'di'huo 底火
'di'pan 底盘
'di'zhi 底质
'di'jin'she'ji 抵近射击
'di'bao 地堡
'di'bao'lian 地爆连
'de'bao'lian 地爆连
'di'biao 地标
'di'dai 地带
'di'dao 地道
'di'dao'gong'shi 地道工事
'di'dao'wang 地道网
'di'dao'zhan 地道战
'di'di'dao'dan 地地导弹
'di'duan 地段
'di'fang'bu'dui 地方部队
'di'fang'jun 地方军
'di'fang'shi 地方时
'di'fang'wu'zhuang 地方武装
'di'fu 地幅
'de'fu 地幅
'di'ji 地极
'di'jiao 地角
'di'jing 地境
'di'kong'dao'dan 地空导弹
